default_setting_begin	type=mother_tree	hp_regen_bonus=2	mp_regen_bonus=1	default_setting_end
default_setting_begin	type=damage	damage_on_hp=200	damage_on_mp=0	default_setting_end
default_setting_begin	type=poison	skill_name=[s_area_a_speed_down]	default_setting_end
default_setting_begin	type=swamp	move_bonus=-50	default_setting_end


//Below	water	volume	(must	be	above	the	head	of	a	family)
//16_21
area_begin	name=[16_21_water1]	map_no={16;21}	type=water	water_range={Min:(-131071.984375	98303.992188	-4780.006836)	Max:(-98303.984375	131071.992188	-3780.006836)}	area_end
area_begin	name=[18_14_water1]	map_no={18;14}	type=water	water_range={Min:(-65536.000000	-103304.039063	-4780.002930)	Max:(-32768.003906	-98304.039063	-3780.002930)}	area_end

//18_19
area_begin	name=[18_19_water1]	map_no={18;19}	type=water	water_range={Min:(-65536.218750	32767.996094	-4779.998535)	Max:(-52036.214844	65535.996094	-3779.998535)}	area_end
area_begin	name=[18_19_water2]	map_no={18;19}	type=water	water_range={Min:(-52036.066406	32768.000000	-4779.998535)	Max:(-32768.066406	40768.000000	-3779.998535)}	area_end

//18_20
area_begin	name=[18_20_water1]	map_no={18;20}	type=water	water_range={Min:(-65536.007813	65536.000000	-4780.000000)	Max:(-55536.007813	75536.000000	-3780.000000)}	area_end
area_begin	name=[18_20_water2]	map_no={18;20}	type=water	water_range={Min:(-55360.000000	78784.000000	-5408.000000)	Max:(-53888.000000	79424.000000	-4832.000000)}	area_end
area_begin	name=[18_20_water3]	map_no={18;20}	type=water	water_range={Min:(-56000.000000	78784.000000	-5408.000000)	Max:(-55360.000000	79424.000000	-3088.000000)}	area_end

//18_21
area_begin	name=[18_21_water1]	map_no={18;21}	type=water	water_range={Min:(-65536.000000	122368.000000	-4179.000000)	Max:(-52480.000000	131072.000000	-3179.000000)}	area_end
area_begin	name=[18_21_water1]	map_no={18;21}	type=water	water_range={Min:(-65536.000000	113088.000000	-4659.000000)	Max:(-57664.000000	121856.000000	-3659.000000)}	area_end

//18_22
area_begin	name=[18_22_water1]	map_no={18;22}	type=water	water_range={Min:(-65536.000000	131072.000000	-4179.000000)	Max:(-62464.000000	141056.000000	-3179.000000)}	area_end
area_begin	name=[18_22_water2]	map_no={18;22}	type=water	water_range={Min:(-61764.000000	131072.000000	-4179.000000)	Max:(-55748.000000	132608.000000	-3179.000000)}	area_end

//18_23
area_begin	name=[18_23_water1]	map_no={18;23}	type=water	water_range={Min:(-65536.000000	191350.000000	-4780.000000)	Max:(-53536.000000	196608.000000	-3780.000000)}	area_end
area_begin	name=[18_23_water2]	map_no={18;23}	type=water	water_range={Min:(-65535.000000	179446.000000	-4780.000000)	Max:(-62962.000000	191446.000000	-3780.000000)}	area_end
area_begin	name=[18_23_water3]	map_no={18;23}	type=water	water_range={Min:(-54681.144531	180233.859375	-4960.000000)	Max:(-53049.144531	183017.859375	-4702.000000)}	area_end
area_begin	name=[18_23_water4]	map_no={18;23}	type=water	water_range={Min:(-53616.140625	183018.140625	-4960.000000)	Max:(-52368.140625	184394.140625	-4702.000000)}	area_end


//18_24
area_begin	name=[18_24_water1]	map_no={18;24}	type=water	water_range={Min:(-41888.007813	206688.031250	-5754.000000)	Max:(-41248.007813	208160.031250	-5177.000000)}	area_end
area_begin	name=[18_24_water2]	map_no={18;24}	type=water	water_range={Min:(-65536.000000	196608.000000	-4780.000000)	Max:(-53536.000000	229376.000000	-3780.000000)}	area_end
area_begin	name=[18_24_water3]	map_no={18;24}	type=water	water_range={Min:(-53536.000000	220976.000000	-4780.000000)	Max:(-32768.000000	229376.000000	-3780.000000)}	area_end
area_begin	name=[18_24_water4]	map_no={18;24}	type=water	water_range={Min:(-41024.000000	212576.000000	-4780.000000)	Max:(-32768.000000	220976.000000	-3780.000000)}	area_end
area_begin	name=[18_24_water5]	map_no={18;24}	type=water	water_range={Min:(-53536.000000	212576.000000	-4282.000000)	Max:(-45280.000000	220976.000000	-3780.000000)}	area_end
area_begin	name=[18_24_water6]	map_no={18;24}	type=water	water_range={Min:(-53536.000000	202208.000000	-4282.000000)	Max:(-47584.000000	209584.000000	-3780.000000)}	area_end
area_begin	name=[18_24_water7]	map_no={18;24}	type=water	water_range={Min:(-45280.000000	212576.000000	-4282.000000)	Max:(-41024.000000	220976.000000	-3780.000000)}	area_end
area_begin	name=[18_24_water8]	map_no={18;24}	type=water	water_range={Min:(-41888.031250	206048.015625	-5754.000000)	Max:(-41248.031250	206688.015625	-3434.000000)}	area_end


//18_25
area_begin	name=[18_25_water1]	map_no={18;25}	type=water	water_range={Min:(-65536.000000	229375.984375	-4779.998047)	Max:(-32768.000000	262143.984375	-3779.998047)}	area_end

//19_14
area_begin	name=[19_14_water1]	map_no={19;14}	type=water	water_range={Min:(-32767.990234	-101304.007813	-4779.981445)	Max:(-29767.990234	-98304.007813	-3779.981445)}	area_end

//19_15
area_begin	name=[19_15_water1]	map_no={19;15}	type=water	water_range={Min:(-32768.007813	-98304.000000	-4780.000000)	Max:(-0.007813	-65536.000000	-3780.000000)}	area_end

//19_18
area_begin	name=[19_18_water1]	map_no={19;18}	type=water	water_range={Min:(-32768.000000	0.000000	-4780.000000)	Max:(-23424.000000	32768.000000	-3780.000000)}	area_end
area_begin	name=[19_18_water2]	map_no={19;18}	type=water	water_range={Min:(-23168.000000	13184.000000	-5568.000000)	Max:(-22528.000000	13824.000000	-3248.000000)}	area_end
area_begin	name=[19_18_water3]	map_no={19;18}	type=water	water_range={Min:(-22528.000000	13184.000000	-5568.000000)	Max:(-21056.000000	13824.000000	-4991.000000)}	area_end
area_begin	name=[19_18_water4]	map_no={19;18}	type=water	water_range={Min:(-23424.000000	0.000000	-4780.000000)	Max:(0.000000	12928.000000	-3780.000000)}	area_end

//19_19
area_begin	name=[19_19_water1]	map_no={19;19}	type=water	water_range={Min:(-12972.000000	57536.000000	-4784.000000)	Max:(-5972.000000	65536.000000	-3784.000000)}	area_end
area_begin	name=[19_19_water2]	map_no={19;19}	type=water	water_range={Min:(-5840.000000	60645.984375	-4788.025879)	Max:(-3840.000000	62645.984375	-3788.025879)}	area_end

//19_20
area_begin	name=[19_20_water1]	map_no={19;20}	type=water	water_range={Min:(-24488.000000	65536.000000	-4268.000000)	Max:(0.000000	98304.000000	-3780.000000)}	area_end
area_begin	name=[19_20_water2]	map_no={19;20}	type=water	water_range={Min:(-25472.000000	77056.000000	-5840.000000)	Max:(-24832.000000	77696.000000	-3520.000000)}	area_end
area_begin	name=[19_20_water3]	map_no={19;20}	type=water	water_range={Min:(-24832.000000	77056.000000	-5840.000000)	Max:(-23360.000000	77696.000000	-5263.000000)}	area_end

//19_21
area_begin	name=[19_21_water1]	map_no={19;21}	type=water	water_range={Min:(-25816.000000	98304.000000	-10611.983398)	Max:(0.000000	131072.000000	-3779.983398)}	area_end

//19_23
//There	is	not	a	necessity,	elimination

//19_24
area_begin	name=[19_24_water1]	map_no={19;24}	type=water	water_range={Min:(-32768.000000	209376.000000	-7780.000000)	Max:(-10000.000000	229376.000000	-3780.000000)}	area_end
area_begin	name=[19_24_water2]	map_no={19;24}	type=water	water_range={Min:(-10000.000000	196608.000000	-7780.000000)	Max:(0.000000	229376.000000	-3780.000000)}	area_end

//19_25
area_begin	name=[19_25_water1]	map_no={19;25}	type=water	water_range={Min:(-32768.000000	229376.000000	-4780.000000)	Max:(0.000000	262144.000000	-3780.000000)}	area_end

//20_14
//There	is	not	a	necessity,	elimination

//20_15
area_begin	name=[20_15_water1]	map_no={20;15}	type=water	water_range={Min:(0.157471	-73536.078125	-4780.019531)	Max:(8000.157227	-65536.078125	-3780.019531)}	area_end

//20_18
area_begin	name=[20_18_water1]	map_no={20;18}	type=water	water_range={Min:(0.000000	0.000000	-4780.000000)	Max:(32768.000000	5500.000000	-3780.000000)}	area_end

//20_19
area_begin	name=[20_19_water1]	map_no={20;19}	type=water	water_range={Min:(0.000000	32768.000000	-4780.000000)	Max:(32768.000000	65536.000000	-3780.000000)}	area_end

//20_20
area_begin	name=[20_20_water1]	map_no={20;20}	type=water	water_range={Min:(0.000000	76174.000000	-4780.000000)	Max:(4000.000000	98304.000000	-3780.000000)}	area_end
area_begin	name=[20_20_water2]	map_no={20;20}	type=water	water_range={Min:(4608.046875	65479.914063	-4794.000977)	Max:(32768.046875	70343.914063	-3794.000977)}	area_end
area_begin	name=[20_20_water3]	map_no={20;20}	type=water	water_range={Min:(0.218750	66791.984375	-4794.000977)	Max:(4624.218750	72935.984375	-3794.000977)}	area_end

//20_21
area_begin	name=[20_21_water1]	map_no={20;21}	type=water	water_range={Min:(0.013672	98304.007813	-4780.004395)	Max:(4300.013672	131072.000000	-3780.004395)}	area_end

//20_22
area_begin	name=[20_22_water1]	map_no={20;22}	type=water	water_range={Min:(0.038086	131072.015625	-4788.000977)	Max:(7168.038086	163840.015625	-3788.000977)}	area_end

//20_23
area_begin	name=[20_23_water1]	map_no={20;23}	type=water	water_range={Min:(0.000000	163840.000000	-7780.000000)	Max:(32768.000000	196608.000000	-3780.000000)}	area_end

//20_24
area_begin	name=[20_24_water1]	map_no={20;24}	type=water	water_range={Min:(-0.004883	196608.000000	-4780.002441)	Max:(32767.996094	229376.000000	-3780.002441)}	area_end

//21_18
area_begin	name=[21_18_water1]	map_no={21;18}	type=water	water_range={Min:(32768.000000	0.000000	-4780.000000)	Max:(65536.000000	10000.000000	-3780.000000)}	area_end

//21_19
area_begin	name=[21_19_water1]	map_no={21;19}	type=water	water_range={Min:(32768.218750	32767.984375	-4780.002441)	Max:(60672.218750	65535.984375	-3780.002441)}	area_end

//21_20
area_begin	name=[21_20_water1]	map_no={21;20}	type=water	water_range={Min:(32767.996094	65535.992188	-4780.002930)	Max:(63567.996094	90535.992188	-3780.002930)}	area_end
area_begin	name=[21_20_water2]	map_no={21;20}	type=water	water_range={Min:(63236.000000	73140.000000	-4780.000000)	Max:(65536.000000	75440.000000	-3780.000000)}	area_end

//21_21
area_begin	name=[21_21_water1]	map_no={21;21}	type=water	water_range={Min:(43516.996094	116836.937500	-3980.009033)	Max:(52516.996094	126092.937500	-3780.009033)}	area_end
area_begin	name=[21_21_water2]	map_no={21;21}	type=water	water_range={Min:(48773.003906	115910.062500	-2377.000000)	Max:(50237.003906	116708.945313	-2227.000000)}	area_end
area_begin	name=[21_21_water3]	map_no={21;21}	type=water	water_range={Min:(46597.003906	111628.992188	-2409.000000)	Max:(49597.003906	115128.992188	-2259.000000)}	area_end
area_begin	name=[21_21_water4]	map_no={21;21}	type=water	water_range={Min:(49172.027344	115128.992188	-2409.000000)	Max:(50136.027344	116868.992188	-2259.000000)}	area_end
area_begin	name=[21_21_water5]	map_no={21;21}	type=water	water_range={Min:(48000.027344	115128.992188	-2409.000000)	Max:(49172.027344	116356.992188	-2259.000000)}	area_end
area_begin	name=[21_21_water6]	map_no={21;21}	type=water	water_range={Min:(44928.000000	126976.000000	-6080.000000)	Max:(45568.000000	127616.000000	-3776.000000)}	area_end
area_begin	name=[21_21_water7]	map_no={21;21}	type=water	water_range={Min:(44928.000000	125504.000000	-6080.000000)	Max:(45568.000000	126976.000000	-5504.000000)}	area_end

//21_22
area_begin	name=[21_22_water1]	map_no={21;22}	type=water	water_range={Min:(41916.996094	139479.718750	-3948.999268)	Max:(51916.996094	152769.718750	-3748.999268)}	area_end
area_begin	name=[21_22_water2]	map_no={21;22}	type=water	water_range={Min:(39296.000000	143616.000000	-6048.000000)	Max:(39936.000000	144256.000000	-3728.000000)}	area_end
area_begin	name=[21_22_water3]	map_no={21;22}	type=water	water_range={Min:(39936.000000	143616.000000	-6048.000000)	Max:(41408.000000	144256.000000	-5471.000000)}	area_end

//21_23
area_begin	name=[21_23_water1]	map_no={21;23}	type=water	water_range={Min:(32768.000000	181239.984375	-4780.010254)	Max:(65536.000000	196607.984375	-3780.010254)}	area_end
area_begin	name=[21_23_water2]	map_no={21;23}	type=water	water_range={Min:(32768.000000	175599.984375	-4780.010254)	Max:(44032.000000	181239.984375	-3780.010254)}	area_end
area_begin	name=[21_23_water3]	map_no={21;23}	type=water	water_range={Min:(57472.000000	175599.984375	-4780.010254)	Max:(65536.000000	181239.984375	-3780.010254)}	area_end
area_begin	name=[21_23_water4]	map_no={21;23}	type=water	water_range={Min:(42496.000000	169984.000000	-5648.000000)	Max:(43136.000000	170624.000000	-3328.000000)}	area_end
area_begin	name=[21_23_water5]	map_no={21;23}	type=water	water_range={Min:(43136.000000	169984.000000	-5648.000000)	Max:(44608.000000	170624.000000	-5071.000000)}	area_end

//21_24
area_begin	name=[21_24_water1]	map_no={21;24}	type=water	water_range={Min:(32768.000000	196608.015625	-4779.979492)	Max:(65536.000000	229376.015625	-3779.979492)}	area_end

//22_18
area_begin	name=[22_18_water1]	map_no={22;18}	type=water	water_range={Min:(65536.000000	4768.000000	-4780.000000)	Max:(75536.000000	32768.000000	-3780.000000)}	area_end
area_begin	name=[22_18_water2]	map_no={22;18}	type=water	water_range={Min:(75536.000000	27768.000000	-4780.000000)	Max:(98304.000000	32768.000000	-3780.000000)}	area_end

//22_19
area_begin	name=[22_19_water1]	map_no={22;19}	type=water	water_range={Min:(84727.000000	32768.000000	-4780.000000)	Max:(91727.000000	53768.000000	-3780.000000)}	area_end

//22_20
area_begin	name=[22_20_water1]	map_no={22;20}	type=water	water_range={Min:(65536.000000	91304.000000	-4772.000000)	Max:(98304.000000	98304.000000	-3772.000000)}	area_end
area_begin	name=[22_20_water2]	map_no={22;20}	type=water	water_range={Min:(65536.000000	71304.000000	-4772.000000)	Max:(70536.000000	91304.000000	-3772.000000)}	area_end
area_begin	name=[22_20_water3]	map_no={22;20}	type=water	water_range={Min:(73984.000000	78080.000000	-5792.000000)	Max:(74624.000000	78720.000000	-3472.000000)}	area_end
area_begin	name=[22_20_water4]	map_no={22;20}	type=water	water_range={Min:(74624.000000	78080.000000	-5792.000000)	Max:(76096.000000	78720.000000	-5215.000000)}	area_end


//22_22
area_begin	name=[22_22_water1]	map_no={22;22}	type=water	water_range={Min:(78304.000000	139840.000000	-8778.000000)	Max:(98304.000000	163840.000000	-3780.000000)}	area_end

//22_23
area_begin	name=[22_23_water1]	map_no={22;23}	type=water	water_range={Min:(65536.000000	163840.000000	-4779.993652)	Max:(74752.000000	196608.000000	-3779.993652)}	area_end
area_begin	name=[22_23_water2]	map_no={22;23}	type=water	water_range={Min:(74752.000000	163840.000000	-4779.993652)	Max:(85215.000000	173976.000000	-3779.993652)}	area_end
area_begin	name=[22_23_water3]	map_no={22;23}	type=water	water_range={Min:(74752.000000	173976.000000	-4779.993652)	Max:(83244.000000	178267.000000	-3779.993652)}	area_end
area_begin	name=[22_23_water4]	map_no={22;23}	type=water	water_range={Min:(74752.000000	178267.000000	-4779.993652)	Max:(78031.000000	180291.000000	-3779.993652)}	area_end
area_begin	name=[22_23_water5]	map_no={22;23}	type=water	water_range={Min:(91149.000000	163840.000000	-4779.993652)	Max:(98304.000000	166737.000000	-3779.993652)}	area_end
area_begin	name=[22_23_water6]	map_no={22;23}	type=water	water_range={Min:(95485.000000	166737.000000	-4779.993652)	Max:(98304.000000	193105.000000	-3779.993652)}	area_end
area_begin	name=[22_23_water7]	map_no={22;23}	type=water	water_range={Min:(92290.000000	173976.000000	-4779.993652)	Max:(95485.000000	185103.000000	-3779.993652)}	area_end
area_begin	name=[22_23_water8]	map_no={22;23}	type=water	water_range={Min:(92290.000000	193105.000000	-4779.993652)	Max:(98304.000000	196608.000000	-3779.993652)}	area_end


//22_24
area_begin	name=[22_24_water1]	map_no={22;24}	type=water	water_range={Min:(93696.000000	224128.000000	-4780.000000)	Max:(98304.000000	229376.000000	-3780.000000)}	area_end
area_begin	name=[22_24_water2]	map_no={22;24}	type=water	water_range={Min:(93056.000000	196608.000000	-4780.000000)	Max:(98304.000000	201216.000000	-3780.000000)}	area_end
area_begin	name=[22_24_water3]	map_no={22;24}	type=water	water_range={Min:(65536.000000	196608.000000	-4780.000000)	Max:(76032.000000	200320.000000	-3780.000000)}	area_end
area_begin	name=[22_24_water4]	map_no={22;24}	type=water	water_range={Min:(70024.000000	222217.000000	-4780.000000)	Max:(77862.000000	229376.000000	-3780.000000)}	area_end
area_begin	name=[22_24_water5]	map_no={22;24}	type=water	water_range={Min:(65536.000000	200320.000000	-4780.000000)	Max:(70024.000000	229376.000000	-3780.000000)}	area_end
area_begin	name=[22_24_water6]	map_no={22;24}	type=water	water_range={Min:(70024.000000	200320.000000	-4268.000000)	Max:(79174.000000	222217.000000	-3780.000000)}	area_end
area_begin	name=[22_24_water7]	map_no={22;24}	type=water	water_range={Min:(77862.000000	224128.000000	-4268.000000)	Max:(93696.000000	229376.000000	-3780.000000)}	area_end
area_begin	name=[22_24_water8]	map_no={22;24}	type=water	water_range={Min:(80192.000000	201216.000000	-4268.000000)	Max:(98304.000000	224128.000000	-3780.000000)}	area_end
area_begin	name=[22_24_water9]	map_no={22;24}	type=water	water_range={Min:(81856.000000	196608.000000	-4268.000000)	Max:(93056.000000	201216.000000	-3780.000000)}	area_end
area_begin	name=[22_24_water10]	map_no={22;24}	type=water	water_range={Min:(79360.000000	208897.000000	-6106.000000)	Max:(80000.000000	209537.000000	-3786.000000)}	area_end
area_begin	name=[22_24_water11]	map_no={22;24}	type=water	water_range={Min:(80000.000000	208897.000000	-6106.000000)	Max:(81472.000000	209537.000000	-5529.000000)}	area_end
area_begin	name=[22_24_water12]	map_no={22;24}	type=water	water_range={Min:(79174.000000	209727.000000	-4268.000000)	Max:(80192.000000	224128.000000	-3780.000000)}	area_end
area_begin	name=[22_24_water13]	map_no={22;24}	type=water	water_range={Min:(79174.000000	201216.000000	-4268.000000)	Max:(80192.000000	208704.000000	-3780.000000)}	area_end

//22_25
area_begin	name=[22_25_water1]	map_no={22;25}	type=water	water_range={Min:(79010.218750	246660.984375	-10902.000977)	Max:(86498.218750	254710.984375	-10886.000977)}	area_end
area_begin	name=[22_25_water2]	map_no={22;25}	type=water	water_range={Min:(84195.218750	239659.984375	-7219.000977)	Max:(86179.218750	242731.984375	-4203.000977)}	area_end
area_begin	name=[22_25_water3]	map_no={22;25}	type=water	water_range={Min:(82979.218750	241471.984375	-7219.000977)	Max:(84195.218750	241919.984375	-6763.000977)}	area_end
area_begin	name=[22_25_water4]	map_no={22;25}	type=water	water_range={Min:(80356.218750	245012.984375	-9354.000977)	Max:(84644.218750	245844.984375	-8898.000977)}	area_end
area_begin	name=[22_25_water5]	map_no={22;25}	type=water	water_range={Min:(80303.218750	258156.984375	-9354.000977)	Max:(84591.218750	258988.984375	-8898.000977)}	area_end
area_begin	name=[22_25_water6]	map_no={22;25}	type=water	water_range={Min:(65536.000000	229376.000000	-4779.540039)	Max:(98304.000000	262144.000000	-3779.540039)}	area_end
area_begin	name=[22_25_water7]	map_no={22;25}	type=water	water_range={Min:(78624.218750	254710.984375	-10902.000977)	Max:(82336.218750	255593.000000	-10886.000977)}	area_end
area_begin	name=[22_25_water8]	map_no={22;25}	type=water	water_range={Min:(82785.218750	254710.984375	-10902.000977)	Max:(86497.218750	255593.000000	-10886.000977)}	area_end
area_begin	name=[22_25_water9]	map_no={22;25}	type=water	water_range={Min:(82336.218750	255350.984375	-10902.000977)	Max:(82785.218750	255593.000000	-10886.000977)}	area_end


//23_11
area_begin	name=[23_11_water1]	map_no={23;11}	type=water	water_range={Min:(98304.000000	-229376.000000	-4780.000000)	Max:(131072.000000	-196608.000000	-3780.000000)}	area_end

//23_12
area_begin	name=[23_12_water1]	map_no={23;12}	type=water	water_range={Min:(119040.000000	-196608.000000	-4780.000000)	Max:(131072.000000	-178624.000000	-3780.000000)}	area_end

//23_18
area_begin	name=[23_18_water1]	map_no={23;18}	type=water	water_range={Min:(98304.976563	27767.996094	-4780.009766)	Max:(120320.976563	32767.996094	-3780.009766)}	area_end

//23_19
area_begin	name=[23_19_water1]	map_no={23;19}	type=water	water_range={Min:(103091.000000	37760.000000	-5656.000000)	Max:(128091.000000	62760.000000	-4656.000000)}	area_end

//23_20
area_begin	name=[23_20_water1]	map_no={23;20}	type=water	water_range={Min:(110208.000000	84224.000000	-7184.000000)	Max:(110848.000000	84864.000000	-4864.000000)}	area_end
area_begin	name=[23_20_water2]	map_no={23;20}	type=water	water_range={Min:(110848.000000	84224.000000	-7208.000000)	Max:(112320.000000	84864.000000	-6631.000000)}	area_end

//23_22
area_begin	name=[23_22_water1]	map_no={23;22}	type=water	water_range={Min:(98304.218750	138239.984375	-4780.000977)	Max:(131072.218750	163839.984375	-3780.000977)}	area_end
area_begin	name=[23_22_water2]	map_no={23;22}	type=water	water_range={Min:(112096.218750	142623.984375	-3176.000977)	Max:(119232.218750	147603.984375	-2892.000977)}	area_end
area_begin	name=[23_22_water3]	map_no={23;22}	type=water	water_range={Min:(117509.000000	136740.000000	-4080.000000)	Max:(122009.000000	138240.000000	-3780.000000)}	area_end
area_begin	name=[23_22_water4]	map_no={23;22}	type=water	water_range={Min:(117509.000000	136740.000000	-4080.000000)	Max:(122009.000000	138240.000000	-3780.000000)}	area_end
area_begin	name=[23_22_water5]	map_no={23;22}	type=water	water_range={Min:(117509.000000	136740.000000	-4080.000000)	Max:(122009.000000	138240.000000	-3780.000000)}	area_end
area_begin	name=[23_22_water6]	map_no={23;22}	type=water	water_range={Min:(114560.000000	132480.000000	-5504.000000)	Max:(115200.000000	133120.000000	-3184.000000)}	area_end
area_begin	name=[23_22_water7]	map_no={23;22}	type=water	water_range={Min:(115200.000000	132480.000000	-5504.000000)	Max:(116672.000000	133120.000000	-4928.000000)}	area_end

//23_23
area_begin	name=[23_23_water1]	map_no={23;23}	type=water	water_range={Min:(98304.000000	163840.000000	-4779.991211)	Max:(131072.000000	167840.000000	-3779.991211)}	area_end
area_begin	name=[23_23_water2]	map_no={23;23}	type=water	water_range={Min:(98304.000000	167840.000000	-4779.991211)	Max:(102304.000000	196608.000000	-3779.991211)}	area_end
area_begin	name=[23_23_water3]	map_no={23;23}	type=water	water_range={Min:(124072.000000	167840.000000	-4779.991211)	Max:(131072.000000	196608.000000	-3779.991211)}	area_end
area_begin	name=[23_23_water4]	map_no={23;23}	type=water	water_range={Min:(102304.000000	191608.000000	-4779.991211)	Max:(124072.000000	196608.000000	-3779.991211)}	area_end
area_begin	name=[23_23_water5]	map_no={23;23}	type=water	water_range={Min:(121672.000000	186199.000000	-4779.991211)	Max:(124072.000000	189151.000000	-3779.991211)}	area_end
area_begin	name=[23_23_water6]	map_no={23;23}	type=water	water_range={Min:(102304.000000	184170.000000	-4779.991211)	Max:(105652.000000	187250.000000	-3779.991211)}	area_end
area_begin	name=[23_23_water7]	map_no={23;23}	type=water	water_range={Min:(102304.000000	168567.000000	-4779.991211)	Max:(106804.000000	173567.000000	-3779.991211)}	area_end
area_begin	name=[23_23_water8]	map_no={23;23}	type=water	water_range={Min:(107520.000000	173696.000000	-6096.000000)	Max:(108160.000000	174336.000000	-3776.000000)}	area_end
area_begin	name=[23_23_water9]	map_no={23;23}	type=water	water_range={Min:(108160.000000	173696.000000	-6106.000000)	Max:(109632.000000	174336.000000	-5529.000000)}	area_end


//23_24
area_begin	name=[23_24_water1]	map_no={23;24}	type=water	water_range={Min:(98304.000000	196608.000000	-4780.000000)	Max:(131072.000000	229376.000000	-3780.000000)}	area_end

//23_25
area_begin	name=[23_25_water1]	map_no={23;25}	type=water	water_range={Min:(98304.007813	229376.015625	-4780.020508)	Max:(131072.000000	262144.000000	-3780.020508)}	area_end

//24_11
area_begin	name=[24_11_water1]	map_no={24;11}	type=water	water_range={Min:(131072.000000	-229376.000000	-4780.000000)	Max:(163840.000000	-196608.000000	-3780.000000)}	area_end

//24_12
area_begin	name=[24_12_water1]	map_no={24;12}	type=water	water_range={Min:(131072.000000	-196608.000000	-4780.000000)	Max:(163840.000000	-178608.000000	-3780.000000)}	area_end

//24_18
